uf,municipio,IBGE,c0,c1,c2,c3,c4,ciclo
PE,Petrolina,261110,1,4,14,13,10,Ciclo 3
PE,Recife,261160,2,4,24,32,64,Ciclo 3
PE,São Lourenço da Mata,261370,0,1,0,6,18,Ciclo 3
AL,Maceió,270430,4,27,2,1,7,Ciclo 3
SE,Aracaju,280030,10,5,24,3,1,Ciclo 3
SE,Nossa Senhora do Socorro,280480,2,4,0,8,2,Ciclo 3
BA,Camaçari,290570,0,8,1,0,0,Ciclo 3
BA,Porto Seguro,292530,24,1,0,0,11,Ciclo 3
BA,Salvador,292740,30,10,3,0,24,Ciclo 3
BA,Teixeira de Freitas,293135,2,2,2,26,6,Ciclo 3
MG,Belo Horizonte,310620,99,16,4,3,27,Ciclo 3
MG,Governador Valadares,312770,0,0,0,0,42,Ciclo 3
MG,Juiz de Fora,313670,0,0,0,0,38,Ciclo 3
MG,Ribeirão das Neves,315460,0,0,2,36,15,Ciclo 3
MG,Sabará,315670,0,6,0,0,0,Ciclo 3
MG,Santa Luzia,315780,0,25,0,0,0,Ciclo 3
MG,Teófilo Otoni,316860,10,17,5,0,0,Ciclo 3
MG,Vespasiano,317120,0,0,0,1,8,Ciclo 3
ES,Cariacica,320130,0,0,3,0,9,Ciclo 3
ES,Guarapari,320240,8,6,0,0,0,Ciclo 3
ES,Linhares,320320,19,0,0,0,0,Ciclo 3
ES,São Mateus,320490,13,0,0,0,5,Ciclo 3
ES,Serra,320500,5,3,12,1,0,Ciclo 3
ES,Vila Velha,320520,0,3,3,1,2,Ciclo 3
ES,Vitória,320530,16,3,1,0,3,Ciclo 3
RJ,Belford Roxo,330045,0,0,1,1,17,Ciclo 3
RJ,Duque de Caxias,330170,0,0,0,4,36,Ciclo 3
RJ,Itaboraí,330190,1,0,0,21,12,Ciclo 3
RJ,Magé,330250,2,1,0,4,5,Ciclo 3
RJ,Maricá,330270,14,1,2,0,0,Ciclo 3
RJ,Mesquita,330285,0,0,0,0,12,Ciclo 3
RJ,Nilópolis,330320,0,0,0,0,9,Ciclo 3
RJ,Niterói,330330,31,3,0,2,1,Ciclo 3
RJ,Nova Iguaçu,330350,0,34,3,3,2,Ciclo 3
RJ,Queimados,330414,1,0,1,4,5,Ciclo 3
RJ,Resende,330420,6,1,3,0,0,Ciclo 3
RJ,Rio de Janeiro,330455,187,2,1,0,7,Ciclo 3
RJ,São Gonçalo,330490,3,7,1,1,108,Ciclo 3
RJ,São João de Meriti,330510,0,0,0,11,4,Ciclo 3
SP,Bauru,350600,7,0,0,0,0,Ciclo 3
SP,Botucatu,350750,6,1,7,0,0,Ciclo 3
SP,Cubatão,351350,0,0,0,5,1,Ciclo 3
SP,Guarujá,351870,0,5,5,0,0,Ciclo 3
SP,Itapetininga,352230,8,0,0,0,0,Ciclo 3
SP,Itaquaquecetuba,352310,6,0,0,0,0,Ciclo 3
SP,Ourinhos,353470,1,2,1,0,1,Ciclo 3
SP,Praia Grande,354100,1,0,18,2,0,Ciclo 3
SP,São Paulo,355030,120,21,123,2,4,Ciclo 3
PR,Almirante Tamandaré,410040,0,3,0,0,4,Ciclo 3
PR,Curitiba,410690,1,1,0,4,85,Ciclo 3
SC,Florianópolis,420540,5,38,2,1,3,Ciclo 3
SC,Palhoça,421190,20,1,0,0,0,Ciclo 3
SC,São José,421660,15,2,0,0,0,Ciclo 3
RS,Alvorada,430060,15,0,0,0,0,Ciclo 3
RS,Bento Gonçalves,430210,11,0,0,0,0,Ciclo 3
RS,Canoas,430460,6,18,0,0,0,Ciclo 3
RS,Caxias do Sul,430510,18,0,0,0,0,Ciclo 3
RS,Passo Fundo,431410,12,1,0,0,2,Ciclo 3
RS,Porto Alegre,431490,124,1,1,1,4,Ciclo 3
RS,Rio Grande,431560,19,3,0,0,0,Ciclo 3
RS,Santa Cruz do Sul,431680,15,1,0,0,0,Ciclo 3
RS,Santa Maria,431690,12,0,1,0,0,Ciclo 3
RS,São Leopoldo,431870,10,0,0,0,0,Ciclo 3
RS,Sapucaia do Sul,432000,17,0,0,0,0,Ciclo 3
RS,Viamão,432300,0,1,11,0,1,Ciclo 3
MS,Campo Grande,500270,33,0,0,0,0,Ciclo 3
MS,Dourados,500370,23,2,2,0,0,Ciclo 3
MT,Cuiabá,510340,8,32,2,2,7,Ciclo 3
GO,Goiânia,520870,1,1,13,43,5,Ciclo 3
GO,Luziânia,521250,0,7,5,4,3,Ciclo 3
DF,Brasília,530010,37,25,5,3,6,Ciclo 3
