uf,municipio,IBGE,benzatina_1,benzatina_2,benzatina_998,ciclo,benzatina_9997,proc.pot_1,proc.pot_2,proc.pot_998,proc.pot_9997
MG,Juiz de Fora,313670,3,33,1,Ciclo 3,1,3,33,1,1
MG,Ribeirão das Neves,315460,4,42,3,Ciclo 3,4,4,42,3,4
MG,Sabará,315670,5,1,0,Ciclo 3,NA,5,1,NA,NA
MG,Santa Luzia,315780,0,0,25,Ciclo 3,NA,NA,NA,25,NA
MG,Teófilo Otoni,316860,0,1,31,Ciclo 3,NA,NA,1,31,NA
MG,Vespasiano,317120,1,7,0,Ciclo 3,1,1,7,NA,1
ES,Cariacica,320130,0,4,1,Ciclo 3,7,NA,4,1,7
ES,Guarapari,320240,0,0,14,Ciclo 3,NA,NA,NA,14,NA
ES,Linhares,320320,9,5,5,Ciclo 3,NA,9,5,5,NA
ES,São Mateus,320490,11,2,0,Ciclo 3,5,11,2,NA,5
ES,Serra,320500,14,7,0,Ciclo 3,NA,14,7,NA,NA
ES,Vila Velha,320520,6,2,0,Ciclo 3,1,6,2,NA,1
ES,Vitória,320530,20,0,0,Ciclo 3,3,20,NA,NA,3
RJ,Belford Roxo,330045,1,0,16,Ciclo 3,2,1,NA,16,2
RJ,Duque de Caxias,330170,1,1,18,Ciclo 3,20,1,1,18,20
RJ,Itaboraí,330190,1,33,0,Ciclo 3,NA,1,33,NA,NA
RJ,Magé,330250,0,0,12,Ciclo 3,NA,NA,NA,12,NA
RJ,Maricá,330270,17,0,0,Ciclo 3,NA,17,NA,NA,NA
RJ,Mesquita,330285,0,0,12,Ciclo 3,NA,NA,NA,12,NA
RJ,Nilópolis,330320,1,8,0,Ciclo 3,NA,1,8,NA,NA
RJ,Niterói,330330,22,14,0,Ciclo 3,1,22,14,NA,1
RJ,Nova Iguaçu,330350,13,26,1,Ciclo 3,2,13,26,1,2
RJ,Queimados,330414,0,0,10,Ciclo 3,1,NA,NA,10,1
RJ,Resende,330420,8,2,0,Ciclo 3,NA,8,2,NA,NA
RJ,Rio de Janeiro,330455,186,4,0,Ciclo 3,7,186,4,NA,7
RJ,São Gonçalo,330490,0,2,106,Ciclo 3,12,NA,2,106,12
RJ,São João de Meriti,330510,4,5,6,Ciclo 3,NA,4,5,6,NA
SP,Bauru,350600,5,0,2,Ciclo 3,NA,5,NA,2,NA
SP,Botucatu,350750,13,1,0,Ciclo 3,NA,13,1,NA,NA
SP,Cubatão,351350,4,2,0,Ciclo 3,NA,4,2,NA,NA
SP,Guarujá,351870,9,1,0,Ciclo 3,NA,9,1,NA,NA
SP,Itapetininga,352230,6,2,0,Ciclo 3,NA,6,2,NA,NA
SP,Itaquaquecetuba,352310,5,1,0,Ciclo 3,NA,5,1,NA,NA
SP,Ourinhos,353470,4,1,0,Ciclo 3,NA,4,1,NA,NA
SP,Praia Grande,354100,18,3,0,Ciclo 3,NA,18,3,NA,NA
